model,imgsz,fps_level,stride,precision,buf_mode,track_buffer,seq,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,mostly_lost,n_gt_tracks,n_strided_frames
yolo26n,576,1,30,int8,fixed,30,MOT17-09,0.18253968253968256,0.22093023255813954,17,0.7727272727272727,0.13636363636363635,8,22,18
yolo26n,576,1,30,int8,fixed,30,MOT17-02,0.09584664536741216,0.13259668508287292,17,0.34,0.02,41,50,20
yolo26n,576,1,30,int8,fixed,30,MOT17-04,0.036308623298033305,0.07653429602888087,3,0.038461538461538464,0.0,74,78,35
yolo26n,576,1,30,trt,scaled,5,MOT17-09,0.2142857142857143,0.2543352601156069,14,0.6363636363636364,0.13636363636363635,6,22,18
yolo26n,576,1,30,trt,scaled,5,MOT17-02,0.051118210862619806,0.13953488372093023,24,0.48,0.04,38,50,20
yolo26n,576,1,30,trt,scaled,5,MOT17-04,0.07639939485627834,0.12974465148378192,12,0.15384615384615385,0.0,68,78,35
yolo26n,576,1,30,trt,fixed,30,MOT17-09,0.2142857142857143,0.23595505617977527,19,0.8636363636363636,0.13636363636363635,5,22,18
yolo26n,576,1,30,trt,fixed,30,MOT17-02,0.051118210862619806,0.13333333333333333,27,0.54,0.04,38,50,20
yolo26n,576,1,30,trt,fixed,30,MOT17-04,0.08018154311649017,0.13195876288659794,13,0.16666666666666666,0.0,66,78,35
yolo26s,640,30,1,fp32,scaled,30,MOT17-09,0.6013351134846462,0.5978561965554618,26,1.0,0.7692307692307693,2,26,525
yolo26s,640,30,1,fp32,scaled,30,MOT17-02,0.3507931438305121,0.539553752535497,23,0.4339622641509434,0.2641509433962264,26,53,600
yolo26s,640,30,1,fp32,scaled,30,MOT17-04,0.3160895005148038,0.44245777305536216,28,0.35443037974683544,0.11392405063291139,41,79,1050
yolo26s,640,30,1,int8,scaled,30,MOT17-09,0.7399198931909212,0.667964946445959,23,0.8846153846153846,0.6153846153846154,3,26,525
yolo26s,640,30,1,int8,scaled,30,MOT17-02,0.30011710848504203,0.44752134299447593,23,0.4339622641509434,0.1509433962264151,31,53,600
yolo26s,640,30,1,int8,scaled,30,MOT17-04,0.27415182943672933,0.4199277429169044,20,0.25316455696202533,0.11392405063291139,46,79,1050
yolo26s,640,30,1,trt,scaled,30,MOT17-09,0.7161548731642189,0.656610703043022,27,1.0384615384615385,0.6923076923076923,3,26,525
yolo26s,640,30,1,trt,scaled,30,MOT17-02,0.32715852230384324,0.5195014073180538,22,0.41509433962264153,0.24528301886792453,28,53,600
yolo26s,640,30,1,trt,scaled,30,MOT17-04,0.36006127420205414,0.49011746003709267,40,0.5063291139240507,0.13924050632911392,39,79,1050
yolo26s,640,15,2,fp32,scaled,15,MOT17-09,0.6092750533049041,0.6438622028141678,19,0.7307692307692307,0.7307692307692307,2,26,263
yolo26s,640,15,2,fp32,scaled,15,MOT17-02,0.35583475298126066,0.5421606500599441,22,0.4230769230769231,0.25,24,52,300
yolo26s,640,15,2,fp32,scaled,15,MOT17-04,0.311683745228049,0.44923325855918805,28,0.35443037974683544,0.11392405063291139,43,79,525
yolo26s,640,15,2,int8,scaled,15,MOT17-09,0.7361407249466951,0.6795952782462057,27,1.0384615384615385,0.5769230769230769,3,26,263
yolo26s,640,15,2,int8,scaled,15,MOT17-02,0.294931856899489,0.47325581395348837,17,0.3269230769230769,0.17307692307692307,32,52,300
yolo26s,640,15,2,int8,scaled,15,MOT17-04,0.2665762507534659,0.3964916312382703,16,0.20253164556962025,0.11392405063291139,46,79,525
